Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 0.00 -0.01 -0.00
0.91 0.19 1.94 0.06 -0.01 -2.99 -0.17
0.96 0.81 15.31 0.12 0.02 -4.25 -0.17
1.02 1.25 26.31 0.19 0.02 -3.61 -0.00
1.07 1.25 37.38 0.06 0.12 -3.07 -0.04
1.13 1.62 43.44 -0.31 0.31 -1.31 0.03
1.18 1.62 46.94 -1.44 0.37 -0.67 0.23
1.24 1.31 47.25 -2.56 0.30 -0.04 0.24
1.30 1.00 47.38 -3.75 0.29 0.02 0.19
1.35 358.88 39.81 -8.44 0.21 0.05 0.19
1.40 358.50 39.75 -9.19 0.11 -0.00 0.11
1.46 358.44 39.81 -9.44 0.05 -0.05 0.03
1.51 358.44 39.81 -9.50 -0.02 0.01 -0.01
1.57 358.50 39.88 -9.31 -0.07 -0.05 -0.06
1.62 358.56 40.12 -8.94 -0.18 -0.02 -0.12
1.68 358.88 40.31 -8.12 -0.20 -0.06 -0.15
1.73 359.12 40.56 -7.44 -0.16 -0.06 -0.16
1.79 359.38 40.56 -6.75 -0.15 0.02 -0.11
1.84 359.50 40.56 -6.25 -0.13 -0.01 -0.11
1.90 359.75 40.50 -5.56 -0.17 0.02 -0.13
1.95 359.94 40.50 -5.00 -0.11 -0.03 -0.08
2.00 359.94 40.62 -5.00 0.09 0.02 0.06
2.06 359.81 40.44 -5.44 0.10 0.05 0.10
2.11 359.69 40.50 -5.75 0.07 -0.04 0.05
2.17 359.62 40.50 -5.94 0.03 0.01 0.03
2.22 359.56 40.50 -6.00 -0.00 0.00 0.00
2.28 359.62 40.44 -5.88 -0.04 -0.02 -0.03
2.33 359.69 40.69 -5.69 -0.08 -0.26 -0.07
2.39 359.81 40.69 -5.25 -0.12 0.02 -0.09
2.44 359.88 40.75 -5.06 0.03 -0.04 0.01
2.50 359.75 40.75 -5.44 0.08 0.01 0.07
2.55 359.69 40.81 -5.62 0.04 -0.03 0.02
2.61 359.69 40.81 -5.62 -0.02 -0.01 -0.02
2.66 359.75 40.75 -5.44 -0.07 0.03 -0.05
